name,sex
aba,K
abaca,K
abacan,K
abaç,K
abay,E
abayhan,E
abaza,K
abbas,E
abdal,E
abdi,E
abdullah,E
abdurrahman,E
abdülalim,E
abdülazim,E
abdülaziz,E
abdülbaki,E
abdülbari,E
abdülbasir,E
abdülbasit,E
abdülcabbar,E
abdülcebbar,E
abdülcelil,E
abdülcemal,E
abdülcevat,E
abdülezel,E
abdülferit,E
abdülfettah,E
abdülgaffar,E
abdülgaffur,E
abdülgafur,E
abdülgani,E
abdülhadi,E
abdülhak,E
abdülhakim,E
abdülhalik,E
abdülhalim,E
abdülhamit,E
abdülkadir,E
abdülkahhar,E
abdülkerim,E
abdüllatif,E
abdülmecit,E
abdülmelik,E
abdülmennan,E
abdülmetin,E
abdülnasır,E
abdülvahap,E
abdülvahit,E
abdürrahim,E
abdürrahman,E
abdürrauf,E
abdürreşit,E
abdürrezzak,E
abdüssamet,E
abdüssami,E
abdüsselam,E
abdüssemi,E
abdüssettar,E
abdüzzeki,E
abgül,K
abher,K
abıhayat,K
abır,E
abıru,K
abid,E
abide,K
abidin,E
abil,E
abir,E
abit,E
abiye,K
ablak,E
abraş,E
abruy,K
abuşka,E
abuzer,E
abuzettin,E
acabay,E
acabey,E
ağabay,E
ağcabey,E
akabay,E
akabey,E
akçabay,E
alabaş,E
alabay,E
alabegim,K
alabegüm,K
alabezek,K
almabanu,K
anabacı,K
anabörü,K
atabay,E
atabek,E
atabey,E
atabörü,E
ayaba,K
babacan,E
babaç,E
babayiğit,E
babür,E
babürşah,E
balaban,E
cabbar,E
cabir,E
çaba,E
çabar,E
farabi,E
gültab,K
hicabi,E
isabet,K
kabadayı,E
kaban,E
kabil,E
kamertab,K
karabaş,E
karabatak,E
karabay,E
karabet,E
karabey,E
karaboğa,E
karabörü,E
karabudun,E
karabuğday,E
karabuğra,E
karabulut,E
karabükey,E
karacabey,E
kayrabay,E
kocabaş,E
kocabey,E
mehabet,K
muhabbet,K
nabi,E
nabia,K
nabiye,K
necabet,E
necabettin,E
nursabah,K
nuşabe,K
olcabay,E
rabbani,E
rabi,E
rabia,K
rabih,E
saba,U
sabah,U
sabahat,K
sabahattin,E
sabahnur,K
sabar,E
sabbar,U
sabıka,K
sabır,K
sabih,E
sabiha,K
sabir,U
sabire,K
sabit,E
sabite,K
sabiye,K
sabri,E
sabrinnisa,K
sabriye,K
sabur,E
sabutay,E
sahabi,E
sarıcabay,E
şaban,E
şahabettin,E
tabende,K
tabgaç,E
türabi,E
yabalak,E
yaban,E
yabar,E
yabgu,E
yabız,E
yalabuk,E
yalazabay,E
zabit,E
zeynelabidin,E
aca,E
acahan,E
acar,U
acaralp,E
acarbegüm,K
acarbey,E
acarbike,K
acarbüke,K
acarer,E
acarhatun,K
acarkan,U
acarkatun,K
acarman,E
acaröz,E
acarsoy,E
acartürk,E
acatay,E
acıdaş,E
aclan,E
acun,E
acunal,E
acunalan,E
acunalp,E
acunbegim,K
acunbegüm,K
acunbike,K
acunbüke,K
acuner,E
acungüneş,K
acunışık,K
acunman,E
acunseven,E
aça,K
açalya,K
açangül,K
açelya,K
açıkalın,E
açıkel,E
açıker,E
açıkgün,E
açıl,E
açılay,K
açine,E
açkıngül,K
adahan,E
adak,U
adal,U
adalan,E
adalet,K
adalettin,E
adam,E
adamış,E
adanan,E
adanır,U
adar,U
adarkan,E
adasal,E
adaş,E
aday,E
adeviye,K
adıbelli,U
adıgün,E
adıgüzel,U
adın,E
adısanlı,E
adısönmez,E
adışah,K
adıvar,E
adıyahşi,E
adıyaman,E
adil,E
adile,K
adilhan,E
adlan,E
adlı,E
adlığ,E
adli,E
adnan,E
adni,E
adniye,K
adsız,E
adsoy,E
adviye,K
afacan,E
afak,U
afer,E
afet,K
affan,U
afi,K
afif,E
afife,K
afitap,K
afiye,K
afiyet,K
afra,K
afşar,E
